epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3504,3.2049,32.7507,0.99261,0.80937,0.46245,0.52105,0.19813,2.66987,2.5463,0.92481,0.00032716,0.00032716,0.0676111
2,64.3635,2.90179,1.68885,0.90972,0.77299,0.54455,0.51358,0.18876,2.73127,1.53061,0.86203,0.000660242,0.000660242,0.0346109
3,96.9817,2.7208,1.5122,0.89017,0.66424,0.48515,0.50754,0.14238,2.85038,2.00267,0.88734,0.000992311,0.000992311,0.00160959
4,129.545,2.69547,1.43171,0.86621,0.74377,0.60396,0.63685,0.21094,2.68951,1.21686,0.84882,0.000996569,0.000996569,0.000996569
5,163.713,2.72912,1.41513,0.88292,0.63809,0.69307,0.61929,0.16463,2.87283,1.11306,0.868,0.000993906,0.000993906,0.000993906
6,196.3,2.64292,1.3109,0.87609,0.74792,0.55819,0.58282,0.19742,2.52616,1.06233,0.86977,0.000990489,0.000990489,0.000990489
7,229.066,2.6272,1.31007,0.88224,0.78083,0.70551,0.78473,0.28364,2.25554,1.15181,0.82917,0.000986323,0.000986323,0.000986323
8,263.287,2.53461,1.18024,0.84777,0.90108,0.80198,0.84971,0.3301,2.2504,0.92691,0.83693,0.000981415,0.000981415,0.000981415
9,297.662,2.54483,1.19,0.88476,0.83517,0.7525,0.81973,0.32804,2.18577,0.97032,0.82786,0.000975773,0.000975773,0.000975773
10,330.14,2.45121,1.2288,0.88171,0.83801,0.71713,0.76118,0.29785,2.31615,1.18403,0.85235,0.000969405,0.000969405,0.000969405
11,362.524,2.4292,1.11827,0.85269,0.87283,0.61165,0.68985,0.25722,2.43722,1.19568,0.85196,0.00096232,0.00096232,0.00096232
12,394.92,2.5253,1.27081,0.87757,0.75198,0.87129,0.85797,0.32676,2.26116,1.05457,0.84042,0.000954531,0.000954531,0.000954531
13,427.286,2.44434,1.20606,0.86132,0.8175,0.54455,0.65398,0.24677,2.47603,1.54063,0.85106,0.000946048,0.000946048,0.000946048
14,459.685,2.45942,1.12615,0.84662,0.81547,0.74385,0.80028,0.34155,2.19557,1.01638,0.83222,0.000936886,0.000936886,0.000936886
15,493.759,2.40842,1.14624,0.83161,0.81576,0.82178,0.84702,0.38298,2.12056,0.92369,0.82959,0.000927057,0.000927057,0.000927057
16,527.667,2.44276,1.16322,0.845,0.8837,0.7523,0.82757,0.3215,2.21017,0.96049,0.82778,0.000916577,0.000916577,0.000916577
17,560.071,2.35021,1.06432,0.85979,0.90225,0.80198,0.85589,0.3721,2.1226,0.92063,0.826,0.000905463,0.000905463,0.000905463
18,592.446,2.43412,1.10865,0.83667,0.87837,0.78652,0.83091,0.37253,1.97871,1.01867,0.83072,0.000893732,0.000893732,0.000893732
19,624.843,2.32318,1.15027,0.83879,0.87527,0.73267,0.80039,0.32219,2.17208,0.91306,0.82854,0.000881401,0.000881401,0.000881401
20,657.207,2.31669,1.07381,0.82778,0.94171,0.79982,0.86923,0.38842,1.9799,0.93475,0.82741,0.00086849,0.00086849,0.00086849
21,691.277,2.33432,1.07,0.84231,0.79626,0.74257,0.78989,0.36208,2.06153,0.8998,0.82644,0.000855018,0.000855018,0.000855018
22,723.638,2.33064,1.09837,0.82931,0.92763,0.77228,0.87014,0.41841,1.96583,0.93695,0.81418,0.000841006,0.000841006,0.000841006
23,757.573,2.23631,1.00893,0.84082,0.85655,0.82771,0.86444,0.38997,1.98686,0.80806,0.82278,0.000826477,0.000826477,0.000826477
24,789.853,2.21677,1.00823,0.83339,0.90681,0.84158,0.90343,0.39954,2.07834,0.87685,0.81839,0.000811452,0.000811452,0.000811452
25,822.231,2.33273,1.01927,0.8294,0.86266,0.78218,0.84267,0.39717,2.01329,0.82706,0.83115,0.000795954,0.000795954,0.000795954
26,854.634,2.26721,0.99268,0.84224,0.91612,0.84158,0.89901,0.3683,2.07938,0.80744,0.82369,0.000780007,0.000780007,0.000780007
27,889.778,2.33522,1.02329,0.83776,0.9168,0.79208,0.85603,0.40762,1.97543,0.80476,0.83108,0.000763637,0.000763637,0.000763637
28,922.392,2.21461,0.99719,0.84418,0.92618,0.79208,0.86944,0.41976,1.87906,0.83387,0.82143,0.000746868,0.000746868,0.000746868
29,956.768,2.25523,1.0101,0.82196,0.89775,0.81188,0.87084,0.40495,1.99533,0.84448,0.82096,0.000729725,0.000729725,0.000729725
30,989.155,2.24013,0.94629,0.83764,0.9548,0.84158,0.89513,0.40119,1.8897,0.79642,0.81009,0.000712237,0.000712237,0.000712237
31,1021.47,2.24846,0.94078,0.81975,0.88592,0.84582,0.87368,0.43325,1.90496,0.82412,0.81475,0.000694428,0.000694428,0.000694428
